City,Label
Littleton,1258
Warner Robins,2416
Stockton,2218
Palestine,1755
Harrisonville,965
Sarasota,2060
Sullivan,2237
Salisbury,2019
Oakdale,1680
FLAGSTAFF,710
Elgin,659
Broken Arrow,259
New Hudson,1585
Edmond,646
St. Petersburg,2200
Green Bay,905
Merriam,1412
Jourdanton,1096
Charleston,387
Merrillville,1413
Pontiac,1829
Burlington,298
Tempe,2282
Laguna Niguel,1170
Strongsville,2229
Twinsburg,2341
Brownsville,275
New Smyrna Beach,1593
Garner,845
Vacaville,2355
Wappingers Falls,2414
Brooklyn,266
Portland,1843
Manassas,1333
Costa Mesa,489
Westport,2495
Monroeville,1474
Arlington,76
Stafford,2201
Fayetteville,736
Winston Salem,2539
Paramus,1768
Rockville,1952
Pacoima,1749
Chapel Hill,385
McKinney,1389
Verona,2372
Larchmont,1198
Valencia,2359
Windsor,2534
Bethesda,180
Middle Island,1429
Sacramento,1997
Conroe,468
Wolcott,2545
Langhorne,1193
West Nyack,2475
Roanke,1937
Tukwila,2329
Kihel,1129
Reading,1898
Morton Grove,1501
Brooklyn Center,267
Naperville,1556
Riverside,1934
Tracy,2319
Randallstown,1889
Woodside,2557
Indiana,1062
Chamblee,381
Colorado Springs,458
Lynnwood,1308
Plano,1814
Fremont,805
Daytona,547
Lake Park,1183
Devon,579
N. Miami Beach,1542
Montebello,1477
Middletown,1435
Fredericksburg,800
Long Island City,1280
Bellevue,157
Saint Cloud,2004
Cerritos,379
Burlingame,297
Golden,876
Tuscon,2337
St Louis,2189
Whitman,2510
Maitland,1327
Southborogh,2160
Beaverton,143
Matteson,1376
Dulles,603
Newark,1596
Boise,213
Roseville,1966
Mt. Juliet,1521
Victor,2375
Stonington,2223
Garden Grove,839
Salt Lake,2021
Hinsdale,1015
Palo Alto,1764
Norman,1622
Torrance,2313
Westmont,2494
Brentwood,245
Framingham,793
Concord,467
Upper Saddle River,2350
Webster,2452
Spring Branch,2176
Great Neck,902
Kinston,1137
West Park,2477
Longmont,1281
Kansas City,1108
Winter Park,2542
Pembroke Pines,1784
Lincoln,1246
San Francisco,2034
Irvine,1070
Minnetonka,1456
Westborough,2485
FONTANA,711
Santa Ana,2050
Escondido,696
Saint James,2007
La Habra,1159
Olympia,1702
Bellingham,159
Pinellas Park,1804
Monterey Park,1478
Berkeley,172
Norwalk,1661
Huntington Station,1046
Brea,241
Hillside,1012
Massillon,1374
Frisco,808
Wakefield,2404
Hollywood,1024
Arlington Heights,77
Addison,13
Avenel,95
Chesapeake,399
Stonewall,2222
Carrollton,349
Old Hickory,1699
Fuquay Varina,821
Lewisville,1233
Mountain View,1516
Highlands Ranch,1008
Rochelle Park,1941
San Mateo,2042
Hoover,1030
San Rafael,2043
Pensacola,1787
Encinitas,685
Bensenville,166
Midlothian,1437
Boardman,208
Westbrook,2486
Palatine,1754
Fountain Hills,790
MONTCLAIR,1317
Beavercreek,142
Loveland,1290
Lodi,1267
Santa Monica,2057
Miami Gardens,1423
Hartford,966
Mount Kisco,1512
North Hollywood,1637
Hayward,979
Darien,540
Farmers Branch,732
Waterford,2432
Abington,8
Golden Valley,877
Lewes,1231
Tinley Park,2305
CREVE COEUR,316
Muncie,1528
Fort Benton,772
League City,1213
Coon Rapids,473
Lowell,1292
Glen Burnie,861
Kennesaw,1121
Orem,1717
Albert Lea,25
Pelham,1783
Englewood Cliffs,689
Fredericktown,801
Hudson,1037
Van Wert,2365
Alexandria,32
Salinas,2017
Richardson,1918
Fuquay-Varina,822
Princeton,1854
Belton,162
Villa Park,2379
Saint Paul,2011
Warrenton,2419
Sandy,2048
Lawrenceville,1210
Brook Park,262
Cedar Rapids,374
Garland,844
North Dartmouth,1632
Seymour,2092
Ivel,1076
Virgina Beach,2384
Portsmouth,1844
Alliance,36
Granite City,895
Livonia,1262
Sunrise,2245
Derby,572
Pinconning,1803
Tallmadge,2271
Columbia,460
Gadsden,829
SHAKOPEE,1986
Watertown,2435
Graham,887
LITCHFIELD,1150
Dover,591
Glendale,867
Chandler,382
Surprise,2246
Wichita,2512
Lubbock,1294
Troy,2324
Milwaukie,1451
Saint Helens,2006
Orland Park,1718
Worthington,2562
Marion,1355
Wilkes-Barre,2516
Pharr,1797
Pocatello,1824
Honolulu,1028
New Philadelphia,1588
Puyallup,1863
Limerick,1245
Rochester,1942
Olive Branch,1701
National City,1563
Oconomowoc,1689
La Grange,1158
Missouri Valley,1464
Baton Rouge,130
Leesville,1220
Mooresville,1488
Lake Wales,1184
Dundee,608
South River,2155
Landover,1192
Frankfort,795
Corpus Christi,482
North Little Rock,1641
Santa Rosa,2059
Woodbridge,2547
Brooklyn Park,268
Watseka,2436
Hattiesburg,971
London,1275
Southgate,2164
Cokato,447
Crystal Lake,509
Springdale,2180
Longview,1283
Santa Fe,2055
Nampa,1553
Clinton,438
Waukegan,2439
Meridian,1411
Pittsburgh,1808
PERU,1742
PEARLAND,1738
Vero Beach,2371
Newburgh,1599
Olathe,1697
Reno,1910
Shelbyville,2100
Lithia Springs,1253
Raynham,1896
Kernersville,1126
East Syracuse,633
Albemarle,23
Twin Falls,2340
Long Beach,1278
Iowa City,1069
OKARCHE,1669
Murfreesboro,1530
Cape Girardeau,340
West Bridgewater,2464
Lugoff,1298
Victorville,2377
Nottingham,1664
Carbondale,342
Woburn,2544
Humble,1039
St George,2188
Silver Spring,2118
Waterford Township,2433
Waterbury,2431
Cherry Hill,398
Fort Wayne,786
Rosedale,1962
Alpharetta,37
Dothan,589
Wilsonville,2531
Barneveld,121
Live Oak,1259
Eden,639
Vandalia,2367
Nelliston,1568
Livermore,1260
Coraopolis,478
Asheboro,82
Suitland,2236
El Cajon,650
Libertyville,1239
North Hampton,1634
Arundel,80
East Petersburg,629
Weymouth,2499
Westlake,2491
Universal City,2347
Port Orchard,1835
Norfork,1620
Hanford,954
Bartow,126
Gower,885
Bastrop,127
Netcong,1572
Birch Run,188
Yarmouth,2568
Pacific,1748
Montclair,1476
New Braunfels,1579
Wait Park,2401
Greenwood,920
Naugatuck,1565
Bloomington,201
Totowa,2315
Clive,441
Blue Island,203
Tacoma,2266
Laramie,1197
Ontario,1706
Milwaukee,1450
Sanford,2049
Mendon,1406
Butler,303
Weatherford,2450
Homestead,1025
Hurst,1052
Doylestown,596
Blackwood,191
Riverhead,1933
Cumming,515
Visalia,2387
Huntville,1050
Barrington,123
Terre Haute,2286
Sebring,2082
Valdosta,2358
Pikeville,1801
Ballwin,117
Mandeville,1336
Seekonk,2085
Fountain,789
Bel Air,147
Independence,1060
San Luis Obispo,2040
Nashville,1560
Sioux Falls,2124
Orange City,1711
Van Buren,2363
Gilbert,854
Saint Augustine,2002
Fairbanks,715
Waldorf,2406
Grenada,923
Bethlehem,181
Cedar Falls,369
Beaumont,140
Fenton,739
Spartanburg,2167
Klamath Falls,1142
Rockwall,1954
Thomasville,2296
Georgetown,850
Schenectady,2071
Chillicothe,413
Macon,1321
Billings,186
Lockport,1264
White Bear Lake,2504
Zedulon,2586
Rogers,1957
Danville,538
Cornelius,480
Katy,1109
East Hartford,625
Carlisle,344
Culpeper,513
Friendswood,807
Newport,1604
Sugar Land,2235
Pompton Plains,1828
Westminster,2493
Loma Linda,1270
Hazelwood,980
North Salt Lake,1651
Centennial,376
Prescott,1850
Harrisonburg,964
Branford,236
Lauderdale Lakes,1203
Hopkins,1031
Shreveport,2109
Cathedral City,364
Manahawkin,1331
Sterling,2212
Poughkeepsie,1847
West Caldwell,2465
Cambridge,326
Rahway,1881
Grand Prairie,892
Bronx,261
Pasadena,1773
Los Angeles,1285
Yonkers,2570
Hazlet,982
American Fork,45
Durham,614
North Huntingdon,1638
Greenfield,913
Temecula,2281
Covington,496
Salt Lake City,2022
College Park,450
Augusta,91
Cartersville,353
Ankeny,57
Hampstead,952
Clermont,434
El Cerrito,651
Berwyn,176
Ewing,705
Saint Charles,2003
Hackettstown,941
Highland Park,1006
Estero,699
Tenafly,2285
Duarte,600
Hermosa Beach,996
Yorkville,2576
North Richland Hills,1649
Davie,543
Ventura,2369
Swanzey,2253
Burbank,291
DAYTON,524
North Lauderdale,1640
Hurricane,1051
El Monte,654
RESEDA,1872
Brookfield,263
Gardena,840
Nanuet,1554
Valdese,2357
Frederick,799
Harrisburg,962
Lawndale,1207
Eatontown,638
Lakeville,1187
Whittier,2511
Loves Park,1291
Countryside,493
BROCKTON,108
Jamaica,1080
Mt. Prospect,1525
North Palm Beach,1645
Hemet,988
Elizabeth,660
Cocoa,444
Signal Hill,2114
San Angelo,2024
Shelton,2101
Middleton,1434
Cookeville,471
Boulder,221
Norwood,1663
Greenvale,917
Rio Linda,1929
Pleasanton,1821
Yorktown,2574
Meriden,1410
Edmonds,647
Union,2344
Bow,224
West Allis,2460
Renton,1911
Mobile,1466
Rock Hill,1944
Lansing,1196
Longwood,1284
Brunswick,276
Owasso,1731
East Stroudsburg,632
Wichita Falls,2513
Toms River,2311
Draper,597
Kingsport,1134
Leesburg,1219
Bend,163
Annapolis,60
Newhall,1601
Mount Laurel,1513
Harmarville,960
Citrus Heights,424
Rancho Cucamonga,1886
Sandusky,2046
Williamsburg,2518
Laurel,1204
Oakland,1683
Auburn,89
Fredricksburg,802
Bloomfield,198
Denver,569
Holiday,1020
Freehold,803
Hialeah,997
South Portland,2154
Jersey City,1088
Davis,544
Hampton,953
Forest City,766
Lilburn,1242
BRODHEADSVILLE,109
Emmaus,683
Cary,355
Irving,1071
North Plainfield,1647
Riverdale,1932
Saco,1996
Germantown,851
Denville,570
Lemon Grove,1223
Stanton,2204
Roslyn,1967
Batavia,128
Windsor Locks,2535
Chester,401
Lancaster,1190
Gulfport,931
South Easton,2146
Somerville,2138
Nashua,1559
Norcross,1618
Slidell,2127
Warrenville,2420
Corona,481
Bristol,256
Dixon,585
Morrow,1499
Lagrange,1168
LaGrange,1164
Inver Grove Heights,1067
Panama City,1765
Yorktown Heights,2575
Florida City,757
Riviera Beach,1936
West Chester,2466
Milledgeville,1445
Dundalk,607
Fort Pierce,780
Industry,1065
Woodinville,2552
Salem,2015
Troutdale,2322
Woodstock,2558
Tewksbury,2289
Westford,2490
Ewing Township,706
Snellville,2133
Denison,567
Winnsboro,2537
Bellflower,158
Alhambra,34
Gastonia,847
N. Charleston,1541
Greenacres,909
Round Rock,1969
West Melbourne,2472
McMurray,1392
Chicopee,410
Galveston,836
Scotia,2074
Owings Mills,1733
Haverhill,973
Westfield,2489
Oneida,1704
Dayton,546
Bloomfield Hills,199
Burien,292
Cheyenne,406
Layton,1212
Oak Park,1677
West Babylon,2461
Davenport,542
Annandale,59
Cleveland Heights,436
Medford,1400
New Castle,1583
Casselberry,359
Northampton,1654
San Bruno,2029
Ardmore,74
Murray,1532
Hillsboro,1009
San Juan Capistrano,2038
Des Plaines,575
Newton,1607
Dumfries,605
Crossville,507
Culver City,514
Albany,22
Indian Trail,1061
Patchogue,1777
Montgomeryville,1480
North Miami,1642
Vancouver,2366
Marlborough,1357
Homewood,1026
Lawton,1211
Summerville,2239
Lompoc,1274
East Windsor,635
BALLWIN,99
Bladensburg,192
Glen Head,865
Thomaston,2295
North Miami Beach,1643
Huntersville,1042
Garden City,838
Coshocton,488
Goodyear,882
Milford,1444
Port St Lucie,1838
High Point,1004
Ashland,84
ROANOKE,1877
Warrensburg,2418
Dudley,602
Titusville,2307
Alameda,20
Soquel,2139
San Benito,2026
Bowie,225
Queens Village,1866
Cortlandt Manor,486
Falls Church,728
Hasbrouck Heights,969
Vallejo,2360
Niantic,1611
East Providence,630
Rutland,1978
Rocklin,1950
Apex,66
Plainville,1812
Staten Island,2208
New Port Richey,1589
Easley,620
Brandon,234
Orange,1710
Crestwood,502
WInchester,2396
Bayside,136
Linden,1249
Fargo,731
Moncks Corner,1469
Cheektowaga,393
Carlsbad,346
Modesto,1467
Commerce,464
Michigan City,1428
San Bernadino,2027
Winter Haven,2541
Falls Chruch,727
Woodbury,2549
Apollo Beach,67
Kalamazoo,1104
Canandaigua,332
Plaistow,1813
Suffolk,2234
Huntsville,1049
Lisle,1252
Orange park,1713
Fort Myers,778
Racine,1879
Poway,1848
Glendora,869
Tustin,2339
Grayslake,900
St. Cloud,2195
Nokomis,1616
Waukesha,2441
Hayesville,978
Barre,122
Apple Valley,68
Manchester,1335
Fairfield,719
Spokane,2172
Enfield,687
Lawrence,1208
Fullerton,820
Smyrna Beach,2131
Vienna,2378
Martinez,1367
Kyle,1147
Coopersburg,474
Barstow,124
St. George,2196
Ft. Worth,819
Ronan,1961
Sterling Heights,2213
Latham,1202
Oxnard,1735
Clinton Township,439
Placentia,1809
Danbury,535
Amityville,49
Kailua,1103
Huntington Beach,1044
Stuart,2231
Downingtown,594
Mechanicville,1399
Victoria,2376
Inwood,1068
Radcliff,1880
Greatneck,903
Mishawaka,1459
Sheboygan,2097
Tifton,2301
Coos Bay,475
Groton,928
Edison,645
Woodlands,2555
Carson,351
Gahanna,830
Millington,1446
Freeport,804
Pomona,1826
Lee's Summit,1217
Hazle Township,981
Myrtle Beach,1537
Christiansburg,418
Miamisburg,1426
South Jordan,2152
Petaluma,1795
Sherwood,2105
Saint Louis Park,2010
SAN FRANCISCO,1979
Middlesboro,1433
Ottawa,1727
Tuscumbia,2338
Midway City,1440
Doraville,587
Heath,984
East Brunswick,621
North Charleston,1630
Torrington,2314
Tamarac,2272
West Islip,2470
Gresham,924
Cleveland,435
COLMAR,313
Johnson City,1090
Lindon,1251
Monmouth Junction,1472
Walnut Creek,2411
Everett,704
Merrimack,1414
Moon Township,1485
Bentonville,168
Waco,2398
Cherry Hiill,397
Ft. Myers,816
O'Fallon,1668
Wendell,2455
Ypsilanti,2578
Leominster,1228
Benzonia,169
Ramsey,1884
Westville,2496
Fontana,764
Anniston,61
East Haven,626
N Lauderdale,1539
Hooksett,1029
Napa,1555
Okemos,1694
ALEXANDRIA,1
Wheaton,2502
North Canton,1629
Beverly Hills,183
Hickory,1000
Oak Ridge,1679
Westampton,2484
Blauvelt,196
MIAMI,1312
Clovis,442
Waltham,2412
Lynnfield,1307
Kahului,1102
Christianburg,417
Kirkland,1138
Saint Peters,2012
Lake Jackson,1180
Chico,409
Paris,1769
Malden,1328
Rockford,1947
Dartmouth,541
Sumter,2242
Sudbury,2233
N. Bellevue,1540
Colma,455
Maple Shade,1347
Okatie,1692
Capitol Heights,341
North Riverside,1650
Healdsburg,983
Odessa,1690
Roanoke,1938
Loganville,1269
Hingham,1014
Southfield,2163
Little Falls,1255
Fort Mill,777
Castle Shannon,361
Tuscaloosa,2336
AUSTIN,3
Bakersfield,113
Kingman,1132
Sharon,2095
Marina Del Rey Toyota,1354
La Crescenta,1154
Greeley,904
Palmdale,1761
Milan,1443
King George,1131
Kingsland,1133
Grants Pass,897
Merced,1409
Boerne,210
LIMERICK,1149
Keller,1116
PLACERVILLE,1744
DAVENPORT,522
San Juan,2037
Asheville,83
McHenry,1387
Watchung,2430
Kissimmee,1140
Eden Prairie,640
Thorndale,2298
Lutherville,1301
Daytona Beach,548
Joplin,1095
Bremerton,243
TREVOSE,2263
Neosho,1569
Sykesville,2255
Streamwood,2228
Mankato,1341
Yuma,2582
Hanover,955
Wahiawa,2399
Berlin,173
Bethany,178
Somerset,2136
Casa Grande,356
Midwest City,1441
Hinesville,1013
Battle Creek,131
York,2572
East Meadow,628
Moore,1487
Post Falls,1845
Wantagh,2413
Ann Arbor,58
Worcester,2561
Ellwood City,675
East Wenatchee,634
Thousand Oaks,2300
Pittsburg,1807
Medina,1401
Lombard,1271
Geenville,849
Horsham,1033
Archbold,72
Enid,690
Gilroy,856
Moscow,1502
Indio,1064
Santa Clara,2052
Santa Cruz,2054
Kendall,1117
Duncan,606
New Alexandria,1574
Idaho Falls,1058
Williston,2523
Wallingford,2410
Wilminton,2529
Mesquite,1417
Cypress,517
West Bountiful,2463
Wake Forest,2403
Spokane Valley,2173
Miami Lakes,1424
Cayce,367
Bloomsburg,202
San Marcos,2041
Kenner,1120
Danvers,537
Little Ferry,1256
Green Brook Township,906
Rochester Hills,1943
VIRGINIA BEACH,2354
Plymouth Meeting,1823
Elyria,680
Lackawanna,1166
Belle Vernon,154
Sumner,2241
Buena Park,284
Oregon City,1716
West Springfield,2482
Neptune,1570
Santa Maria,2056
Madera,1322
Maumee,1380
Norwich,1662
North Attleboro,1624
Gorham,883
Winchester,2533
Fort Walton,783
Orange Park,1712
Sherman,2103
RICHFIELD,1873
Lithonia,1254
Smithtown,2129
Oceanside,1687
Parker,1771
North Aurora,1625
Temple,2283
Locust,1265
Winterville,2543
Stevenson Ranch,2215
Flemington,753
Sioux City,2123
Leavenworth,1214
Elk Grove,664
Daly City,534
Bohemia,212
Bell,151
Goldsboro,879
Zephyrhills,2588
Baird,112
Stanhope,2203
Woods Cross,2556
La Follette,1156
Minneapolis,1454
Gonzales,880
Novato,1665
RICHLAND,1874
Stevens Point,2214
Rosell,1963
Saddle Brook,1999
Northborough,1655
North Brunswick,1628
PINELLAS PARK,1743
Glenview,872
Lockhart,1263
Baxley,132
Manalapan,1332
Dearborn,552
Burns Harbor,299
Alamogordo,21
College Station,451
Randolph,1890
Wilson,2530
Hueytown,1038
Lindenhurst,1250
Evanston,702
Pauls Valley,1779
Mechanicsville,1398
Hagerstown,943
Lake Katrine,1181
Lumberton,1299
Calera,322
Waite Park,2402
Campbell,330
Hawaiian Gardens,975
Safford,2000
Mora,1489
Mystic,1538
Missoula,1463
Rexburg,1914
Aransas Pass,70
DUNN,528
Sneads Ferry,2132
Havre,974
Anchorage,54
Hawthorne,976
Port Charlotte,1832
Higginsville,1003
Greencastle,911
Midland,1436
NORMAN,1549
Taylorville,2280
Toledo,2309
Pottsville,1846
Chehalis,394
Longs,1282
Cullman,512
Las cruces,1201
Dickinson,580
Farmington Hills,735
Fond du Lac,763
Quincy,1868
THOUSAND OAKS,2261
Dalhart,531
Deming,566
Hillsdale,1011
West Mifflin,2473
St Cloud,2187
CARLSBAD,306
Blue Springs,205
Carrolton,350
McKenna,1388
KAHULUI,1099
Skyesville,2126
Galesburg,833
Liberty Lake,1238
Hodgkins,1017
Jasper,1083
AURORA,2
Ogden,1691
Brattleboro,239
Johnstown,1092
Tappahannock,2275
Comstock,466
Bennington,165
Jarrettsville,1082
Morganton,1494
Orangburg,1709
Fairhaven,720
Glendale Heights,868
Ferriday,743
Carthage,354
Washington,2427
Nevada,1573
Valley Stream,2361
Martinsville,1369
Evansville,703
Coconut Creek,445
Vicksburg,2374
Corvallis,487
Lake Bluff,1171
Flemingsburg,752
Mt Pleasant,1520
Tomball,2310
Heber Springs,985
Walla Walla,2408
Fort Walton Beach,784
Abbeville,5
Defiance,557
Detroit,577
Collins,453
Okmulgee,1696
Coeur d'Alene,446
Wrightsville,2563
Guthrie,933
Natchez,1561
Ashburn,81
Liberal,1236
Smithfield,2128
Albertville,26
Rockwood,1955
ONTARIO,1671
Federal Way,738
Macomb,1320
Buda,281
Brevard,246
Claremore,428
Cedar City,368
Amsterdam,51
Bartlett,125
Lake Charles,1173
Winnemucca,2536
Shakopee,2093
Texarkana,2290
Vernon,2370
Baytown,137
Mount Airy,1507
Staunton,2211
Marshall,1364
San Leandro,2039
Dunkirk,609
Butte,304
Glenside,871
Show Low,2108
Rockville Centre,1953
Hopkinsville,1032
Carson City,352
Harvey,968
Sierra Vista,2113
Helena,986
Charlottesville,389
Dade City,529
Mount Vernon,1515
Lucedale,1295
La Quinta,1162
phoenix,2595
Ledgewood,1216
Warren,2417
Lake Elsinore,1176
Wickenburg,2514
Hemingway,989
Elko,668
Margate,1351
Milton,1449
Brighton,255
DeRidder,551
Ringgold,1928
Prattville,1849
Dyersburg,615
East Greenwich,623
Acton,9
Cranbury,497
DICKSON,526
SAN JOSE,1980
Hamilton,948
Hamburg,947
Banning,120
Monticello,1481
Perrysburg,1792
Bluefield,206
Crittenden,505
Sealy,2079
Yerington,2569
Acworth,10
Alto,39
Novi,1666
Montross,1484
Haines CIty,944
Loxley,1293
Hicksville,1002
MIDLAND,1313
Mayfield,1381
Cedar Park,373
Murrieta,1533
SEYMOUR,1985
Southern Pines,2162
Middlebury,1432
Dinuba,583
Morrison,1496
Richland,1920
Brewton,248
Blackshear,190
Collierville,452
Overland Park,1730
Sauk City,2064
ROCHESTER,1878
Grand Blanc,888
Jennings,1087
Canyon Country,338
Wausau,2443
Crestview,501
Waipahu,2400
Swansboro,2251
Sandwich,2047
Ellensburg,670
Urbandale,2352
Oakhurst,1682
Folsom,761
Devils Lake,578
Marlette,1358
Hibbing,999
Rincon,1927
Peru,1794
Beresford,170
Statesboro,2209
Arkadelphia,75
Findlay,746
Manhattan,1338
Sault Sainte Marie,2066
Ottumwa,1729
NAPERVILLE,1544
Alvin,42
Great Falls,901
Greer,922
Stoughton,2224
Bunker Hill,290
West Columbia,2468
Rapid City,1891
Levittown,1230
Wallace,2409
Mc Allen,1383
Bedford Hills,146
Finksburg,747
Wexford,2498
Biloxi,187
Murrysville,1534
Greenwood Village,921
Opelika,1707
Kearney,1112
Villa Rica,2380
Bozeman,229
Scottsboro,2075
Spearfish,2168
Cabot,317
Fallon,726
Ocoee,1688
Fort Kent,775
Greenbelt,910
Canyon,337
Hinton,1016
YUKON,2566
New Rochelle,1592
Waveland,2445
Spencer,2169
Fairview Heights,723
Marble Falls,1349
Corry,483
Robstown,1940
Turlock,2333
Tigard,2302
Blenheim,197
salt lake,2596
Edgefield,641
Bonita Springs,215
Wasilla,2429
Durango,612
Burkburnet,293
Glen Allen,860
Harlingen,959
Starke,2206
Glenwood Springs,873
Keene,1114
Scranton,2077
Minneola,1455
Manheim,1339
Evans,701
Vineland,2382
Mansfield,1343
Camp Springs,328
Wood River,2546
East Hanover,624
Belle Plaine,153
Renville,1912
Ansonia,63
Sagle,2001
Gardner,842
Bayshore,135
Sedalia,2084
Rock Springs,1945
South Gate,2147
Crawfordsville,499
Ada,11
Swainsboro,2248
Springville,2183
Lake City,1174
West,2459
Morehead City,1491
Lufkin,1297
Fort Gratiot,774
Clarksdale,430
Boaz,209
San Deigo,2032
Urbana,2351
Cadiz,318
Tupelo,2332
Michigan Center,1427
Whitefish,2508
Deland,559
Imlay City,1059
Ferndale,741
Schoolcraft,2073
Lexington Park,1235
Saint Robert,2014
Lutherville Timonium,1302
West Valley,2483
Buffalo,286
Castroville,363
Ft. Walton Beach,818
Opelousas,1708
Rifle,1926
Wilkesboro,2517
Fergus Falls,740
Fox Lake,792
Tahlequah,2267
BIXBY,104
Bonham,214
Forest,765
Woodland,2553
Stone Mountain,2219
Talladega,2268
Goodlettsville,881
Amesbury,47
Price,1851
Rolla,1958
Vista,2388
Palm Springs,1760
BEAUMONT,101
Glen Mills,866
Marlow Heights,1359
Thatcher,2292
Manvel,1345
D'Iberville,518
Eagle River,619
Zionsville,2589
Keyport,1128
Greensburg,916
